 Main Link,Include(Y/N),Name of the document,Country,Publisher,Link to main Document,Publication Date,Organization Type,Text Summary,Text-mining,Extracted text,paper index,Comments
https://neac.health.govt.nz/national-ethical-standards/part-two/13-health-data-and-new-technologies,1,National Ethical Standards Part two 13. Health data and new technologies,New Zealand,The National Ethics Advisory Committee,https://neac.health.govt.nz/national-ethical-standards/part-two/13-health-data-and-new-technologies,February 2022,Government,"This standard outlines ethical guidelines for AI in healthcare, emphasizing transparency, fairness, risk mitigation, accountability, and adherence to data governance policies throughout the AI lifecycle.","Transparency: 12
Justice and fairness: 11
Non-maleficence: 10
Responsibility: 12
Privacy: 4
Beneficence: 1
Freedom and autonomy: 2
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,11,
https://actonline.org/wp-content/uploads/Policy-Principles-for-AI.pdf,1,Policy Principles for Artificial Intelligence in Health,USA,Connected Health Initiative,https://actonline.org/wp-content/uploads/Policy-Principles-for-AI.pdf,,Inter-organizational partnership,"This document outlines policy principles for integrating AI in healthcare, advocating for a national strategy, ethical guidelines, privacy protections, and collaboration to enhance patient outcomes, reduce costs, and ensure equitable, safe, and effective AI systems.","Transparency: 2
Justice and fairness: 5
Non-maleficence: 6
Responsibility: 3
Privacy: 4
Beneficence: 0
Freedom and autonomy: 3
Trust: 1
Sustainability: 0
Dignity: 0
Solidarity: 0",,12,
https://www.moh.gov.sg/docs/librariesprovider5/eguides/1-0-artificial-in-healthcare-guidelines-(aihgle)_publishedoct21.pdf,1,Artificial Intelligence in Healthcare Guidelines,Singapore,Ministry of Health Singapore,https://www.moh.gov.sg/docs/librariesprovider5/eguides/1-0-artificial-in-healthcare-guidelines-(aihgle)_publishedoct21.pdf,October 2021,Government,"This guideline recommends best practices for developing and deploying AI in healthcare, focusing on transparency, patient-centricity, fairness, cybersecurity, and continuous performance monitoring to build trust in AI medical devices.","Transparency: 19
Justice and fairness: 3
Non-maleficence: 39
Responsibility: 9
Privacy: 1
Beneficence: 5
Freedom and autonomy: 7
Trust: 9
Sustainability: 0
Dignity: 0
Solidarity: 0",,13,OCR library was used
https://www.cpsbc.ca/registrants/standards-guidelines,1,Ethical Principles for Artificial Intelligence in Medicine,Canada,College of Physicians and Surgeons of British Columbia,https://www.cpsbc.ca/files/pdf/IG-Artificial-Intelligence-in-Medicine.pdf,April 2024,Government-regulated professional organization,"This interim guidance from the College of Physicians and Surgeons of British Columbia outlines ethical principles for using AI in medical practice, emphasizing patient privacy, transparency, and oversight, while ensuring AI complements clinical expertise and meets professional standards.","Transparency: 3
Justice and fairness: 3
Non-maleficence: 6
Responsibility: 2
Privacy: 7
Beneficence: 1
Freedom and autonomy: 4
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,14,
https://dailynews.ascopubs.org/do/released-framework-ethical-use-ai-medicine-oncologists-must-adapt,1,Ethics and governance of artificial intelligence for health,Global,World Health Organization ,https://iris.who.int/bitstream/handle/10665/341996/9789240029200-eng.pdf?sequence=1,June 2021,Intergovernmental,"The WHO's guidance on AI ethics in healthcare highlights its potential to improve care while emphasizing six core principles—autonomy, well-being, transparency, responsibility, inclusiveness, and sustainability—and calls for global collaboration to address ethical concerns like bias, data privacy, and accountability.","Transparency: 78
Justice and fairness: 57
Non-maleficence: 251
Responsibility: 168
Privacy: 132
Beneficence: 53
Freedom and autonomy: 162
Trust: 44
Sustainability: 14
Dignity: 18
Solidarity: 4",,15,
https://news.medtronic.com/ethical-AI-what-it-is-and-why-it-matters-to-healthcare-newsroom,1,The Medtronic AI Compass,USA,Medtronic,https://www.medtronic.com/us-en/our-company/key-facts/artificial-intelligence-compass.html,2020,Private,"Medtronic's AI Compass commits to ethically applying AI in medical technologies, focusing on patient-centered design, safety, fairness, accountability, oversight, privacy, and transparency to improve patient outcomes and align with their mission of alleviating pain, restoring health, and extending life.","Transparency: 2
Justice and fairness: 1
Non-maleficence: 07
Responsibility: 3
Privacy: 5
Beneficence: 0
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,16,
https://www.europarl.europa.eu/RegData/etudes/STUD/2022/729512/EPRS_STU(2022)729512_EN.pdf,1,"Artificial intelligence in healthcare Applications, risks, and ethical and societal impacts",Global,European Parliament,https://www.europarl.europa.eu/RegData/etudes/STUD/2022/729512/EPRS_STU(2022)729512_EN.pdf,June 2022,Intergovernmental,"This report from the European Parliamentary Research Service explores the applications, risks, and ethical impacts of artificial intelligence in healthcare, focusing on improving efficiency, diagnosis, and resource allocation while addressing concerns such as bias, transparency, patient harm, and data privacy​.","Transparency: 95
Justice and fairness: 66
Non-maleficence: 101
Responsibility: 64
Privacy: 38
Beneficence: 12
Freedom and autonomy: 18
Trust: 22
Sustainability: 3
Dignity: 0
Solidarity: 0",,17,
https://www.acr.org/-/media/ACR/Files/Informatics/Ethics-of-AI-in-Radiology-European-and-North-American-Multisociety-Statement--6-13-2019.pdf,1,Ethics of AI in Radiology,Global,"American College of Radiology, European Society of Radiology, Radiology Society of North America, Society for Imaging Informatics in Medicine, European Society of Medical Imaging Informatics, Canadian Association of Radiologists, and American Association of Physicists in Medicine",https://www.acr.org/-/media/ACR/Files/Informatics/Ethics-of-AI-in-Radiology-European-and-North-American-Multisociety-Statement--6-13-2019.pdf,2019,Multisociety consortium,"This multisociety statement outlines ethical principles for the use of AI in radiology, emphasizing transparency, patient safety, data privacy, bias mitigation, and the importance of maintaining human oversight to ensure responsible AI development and deployment.","Transparency: 33
Justice and fairness: 6
Non-maleficence: 39
Responsibility: 20
Privacy: 23
Beneficence: 9
Freedom and autonomy: 19
Trust: 16
Sustainability: 0
Dignity: 1
Solidarity: 0",,18,
https://wellcome.org/sites/default/files/ai-in-health-ethical-social-political-challenges.pdf,1,"ETHICAL, SOCIAL, AND POLITICAL CHALLENGES OF ARTIFICIAL INTELLIGENCE IN HEALTH",England,Future Advocacy,https://wellcome.org/sites/default/files/ai-in-health-ethical-social-political-challenges.pdf,2018,Non-profit,"This report explores the ethical, social, and political challenges of using artificial intelligence in healthcare, addressing concerns about patient relationships, data privacy, algorithmic transparency, health inequalities, and the need for responsible regulation and public engagement​.","Transparency: 18
Justice and fairness: 13
Non-maleficence: 22
Responsibility: 5
Privacy: 3
Beneficence: 8
Freedom and autonomy: 25
Trust: 29
Sustainability: 1
Dignity: 1
Solidarity: 6",,19,
https://www.aafp.org/about/policies/all/ethical-ai.html,1,Ethical Application of Artificial Intelligence in Family Medicine,USA,American Academy of Family Physicians,https://www.aafp.org/about/policies/all/ethical-ai.html,,Non-profit,"This document outlines principles for the ethical application of AI in family medicine, emphasizing transparency, bias mitigation, patient privacy, accountability, and the enhancement of primary care while ensuring AI solutions integrate seamlessly into healthcare workflows.","Transparency: 3
Justice and fairness: 6
Non-maleficence: 2
Responsibility: 3
Privacy: 1
Beneficence: 0
Freedom and autonomy: 2
Trust: 3
Sustainability: 0
Dignity: 0
Solidarity: 0",,20,
https://www.ama.com.au/sites/default/files/2023-08/Artificial%20Intelligence%20in%20Healthcare%20-%20AMA.pdf,1,Artificial Intelligence in Healthcare,Australia,Australian Medical Association,https://www.ama.com.au/sites/default/files/2023-08/Artificial%20Intelligence%20in%20Healthcare%20-%20AMA.pdf,2023,Non-profit,"The Australian Medical Association's position on AI in healthcare emphasizes the need for ethical oversight, transparency, accountability, and patient-centered approaches, ensuring that AI enhances, rather than replaces, clinical decision-making while safeguarding patient privacy and equity.","Transparency: 5
Justice and fairness: 11
Non-maleficence: 11
Responsibility: 9
Privacy: 11
Beneficence: 0
Freedom and autonomy: 4
Trust: 3
Sustainability: 0
Dignity: 0
Solidarity: 0",,21,
https://www.coe.int/en/web/bioethics/ai-in-healthcare,1,THE APPLICATION OF ARTIFICIAL INTELLIGENCE IN HEALTHCARE AND ITS IMPACT ON THE ‘PATIENT-DOCTOR’ RELATIONSHIP,Global,Steering Committee for Human Rights in the fields of Biomedicine and Health (CDBIO),https://rm.coe.int/cdbio-2023-7-rev3-ai-report-web-e/1680b17b35,September 2024,Intergovernmental,"This report by the Council of Europe examines the impact of artificial intelligence (AI) on the patient-doctor relationship in healthcare, emphasizing the need for human oversight, transparency, and the protection of patient autonomy to ensure AI enhances, rather than disrupts, this critical relationship.","Transparency: 6
Justice and fairness: 9
Non-maleficence: 18
Responsibility: 12
Privacy: 8
Beneficence: 7
Freedom and autonomy: 63
Trust: 6
Sustainability: 0
Dignity: 2
Solidarity: 0",,22,
https://bioetica.governo.it/en/opinions/joint-opinions-icbicbbsl/artificial-intelligence-and-medicine-some-ethical-aspects/,1,ARTIFICIAL INTELLIGENCE AND MEDICINE: ETHICAL ASPECTS,Italy,Presidenza del Consiglio dei Ministri,https://bioetica.governo.it/media/4261/p6_r_2020_gm_artificial-intelligence-and-medicine_en.pdf,May 2020,Government,"This report by the Italian Committee for Bioethics explores the ethical implications of artificial intelligence (AI) in medicine, emphasizing the need for responsible use, transparency, patient autonomy, and interdisciplinary education to ensure AI complements rather than replaces human care in healthcare settings.","Transparency: 3
Justice and fairness: 3
Non-maleficence: 11
Responsibility: 12
Privacy: 8
Beneficence: 2
Freedom and autonomy: 18
Trust: 6
Sustainability: 1
Dignity: 1
Solidarity: 0",,23,Invald SSL certificate. File was downloaded manually
https://www.safercare.vic.gov.au/sites/default/files/2023-12/Generative%20Artificial%20Intelligence%20and%20Local%20Governance%20Models%20-%20Health%20Service%20Guidance.pdf,1,Generative Artificial Intelligence and Local Governance Models Health Service Guidance,Australia,Victoria State Government Department of Health,https://www.safercare.vic.gov.au/sites/default/files/2023-12/Generative%20Artificial%20Intelligence%20and%20Local%20Governance%20Models%20-%20Health%20Service%20Guidance.pdf,December 2023,Government,"This guidance provides a framework for Victorian health services to implement and govern the safe and appropriate use of generative AI technology, emphasizing caution, privacy, and oversight, especially for non-clinical applications, while awaiting further national regulations.","Transparency: 0
Justice and fairness: 1
Non-maleficence: 6
Responsibility: 1
Privacy: 3
Beneficence: 1
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,24,URL malformed. File downloaded manually
https://ai-pod.eu/wp-content/uploads/2024/04/AI-POD_D5.1_Analysis-of-governance-frameworks-1.pdf,1,ANALYSIS OF GOVERNANCE FRAMEWORKS FOR THE IMPLEMENTATION OF AI-DRIVEN TECHNOLOGIES,Global,AI-POD,https://ai-pod.eu/wp-content/uploads/2024/04/AI-POD_D5.1_Analysis-of-governance-frameworks-1.pdf,April 2024,Research Initiative,"This report provides an analysis of governance frameworks, ethical principles, and guidelines for the responsible implementation of AI-based decision-making tools in healthcare, with a focus on ensuring safety, transparency, accountability, and inclusivity to promote trust and effective adoption of AI-driven technologies.","Transparency: 32
Justice and fairness: 12
Non-maleficence: 39
Responsibility: 26
Privacy: 18
Beneficence: 2
Freedom and autonomy: 33
Trust: 7
Sustainability: 4
Dignity: 1
Solidarity: 0",,25,
https://www.ama-assn.org/system/files/ama-ai-principles.pdf,1,"Principles for Augmented Intelligence Development, Deployment, and Us",USA,American Medical Association,https://www.ama-assn.org/system/files/ama-ai-principles.pdf,November 2023,Non-profit,"This document outlines the American Medical Association's principles and recommendations for the ethical, transparent, and responsible development, deployment, and oversight of AI-enabled technologies in healthcare, emphasizing patient safety, physician well-being, and equitable access to care.","Transparency: 14
Justice and fairness: 7
Non-maleficence: 18
Responsibility: 21
Privacy: 15
Beneficence: 4
Freedom and autonomy: 1
Trust: 2
Sustainability: 0
Dignity: 0
Solidarity: 0",,26,
https://www.mq.edu.au/__data/assets/pdf_file/0005/1281758/AAAiH_NationalAgendaRoadmap_20231122.pdf,1,A National Policy Roadmap for Artificial Intelligence in Healthcare,Australia,Australian Alliance for Artificial Intelligence in Healthcare,https://www.mq.edu.au/__data/assets/pdf_file/0005/1281758/AAAiH_NationalAgendaRoadmap_20231122.pdf,November 2023,Non-profit,"The National Policy Roadmap for Artificial Intelligence in Healthcare outlines a coordinated approach for integrating AI into Australia's healthcare system, focusing on safety, ethics, workforce readiness, consumer engagement, industry development, and research to ensure AI's safe, effective, and equitable use in healthcare.","Transparency: 2
Justice and fairness: 1
Non-maleficence: 35
Responsibility: 1
Privacy: 2
Beneficence: 11
Freedom and autonomy: 1
Trust: 2
Sustainability: 1
Dignity: 0
Solidarity: 0",,27,
https://www.safercare.vic.gov.au/best-practice-improvement/clinical-governance,1,Victorian Clinical Governance Framework,Australia,Safer Care Victoria,https://www.safercare.vic.gov.au/sites/default/files/2024-08/Victorian%20Clinical%20Governance%20Framework.pdf,August 2024,Government,"The Victorian Clinical Governance Framework provides comprehensive guidance on systems, leadership, and culture necessary for delivering safe, effective, and high-quality care in Victorian healthcare settings, emphasizing consumer partnership, continuous improvement, and risk management.","Transparency: 2
Justice and fairness: 1
Non-maleficence: 35
Responsibility: 1
Privacy: 2
Beneficence: 11
Freedom and autonomy: 1
Trust: 2
Sustainability: 1
Dignity: 0
Solidarity: 0",,28,File downloaded manually
https://health.ucdavis.edu/data/includes/documents/smartandsafeframework.pdf,1,S.M.A.R.T. and S.A.F.E. A Novel Framework for Clinical Artificial Intelligence Evaluation by the Analytics Oversight Committee at UC Davis Health,USA,UC Davis Health,https://health.ucdavis.edu/data/includes/documents/smartandsafeframework.pdf,2023,Non-profit,"The S.M.A.R.T. and S.A.F.E. framework developed by the UC Davis Health Analytics Oversight Committee provides a structured, ethical, and comprehensive approach for evaluating and overseeing clinical AI models to ensure they are strategically aligned, safe, accurate, fair, and evidence-based before being implemented in healthcare settings.","Transparency: 0
Justice and fairness: 1
Non-maleficence: 3
Responsibility: 0
Privacy: 0
Beneficence: 1
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,29,Invalid SSL certificate. File downloaded manually
https://assets.publishing.service.gov.uk/media/57a08d59ed915d622c001935/Clinical-governance-in-the-UK-NHS.pdf,1,Clinical governance in the UK NHS,England,Health Systems Resource Centre,https://assets.publishing.service.gov.uk/media/57a08d59ed915d622c001935/Clinical-governance-in-the-UK-NHS.pdf,,Government,"Clinical governance in the UK NHS is a framework aimed at improving the quality of patient care by ensuring accountability, continuous improvement, and adherence to nationally set standards, while addressing variations in care and responding to past failures in healthcare services.","Transparency: 0
Justice and fairness: 0
Non-maleficence: 0
Responsibility: 2
Privacy: 0
Beneficence: 1
Freedom and autonomy: 0
Trust: 0
Sustainability: 0
Dignity: 0
Solidarity: 0",,30,
https://www.pdpc.gov.sg/help-and-resources/2020/01/second-edition-of-model-artificial-intelligence-governance-framework,1,MODEL ARTIFICIAL INTELLIGENCE GOVERNANCE FRAMEWORK SECOND EDITION,Singapore,Info-communications Media Development Authority (IMDA) and Personal Data Protection Commission (PDPC),https://www.pdpc.gov.sg/help-and-resources/2020/01/second-edition-of-model-artificial-intelligence-governance-framework,2020,Government,"The framework provides guidelines to help organizations ensure responsible use of AI by establishing internal governance structures, determining human involvement in AI decision-making, managing AI operations, and maintaining transparent communication with stakeholders.","Transparency: 31
Justice and fairness: 22
Non-maleficence: 47
Responsibility: 19
Privacy: 8
Beneficence: 6
Freedom and autonomy: 2
Trust: 17
Sustainability: 1
Dignity: 1
Solidarity: 0",,31,
https://reliefweb.int/report/world/ethics-and-governance-artificial-intelligence-health-guidance-large-multi-modal-models,1,Ethics and governance of artificial intelligence for health: Guidance on large multi-modal models,Global,World Health Organization ,File must be downloaded,January 2024,Intergovernmental,"The WHO document on the ethics and governance of artificial intelligence for health provides guidance on the use of large multi-modal models (LMMs) in healthcare, addressing their potential benefits and risks, with a focus on ensuring transparency, accuracy, inclusiveness, and accountability while mitigating biases, safety concerns, and ethical challenges throughout their development, provision, and deployment.","Transparency: 48
Justice and fairness: 25
Non-maleficence: 131
Responsibility: 49
Privacy: 35
Beneficence: 35
Freedom and autonomy: 30
Trust: 9
Sustainability: 15
Dignity: 4
Solidarity: 1",,32,
https://www.hhs.gov/programs/topic-sites/ai/strategy/index.html,1,Artificial Intelligence (AI) Strategy,USA,U.S. Department of Health and Human Services,https://www.hhs.gov/sites/default/files/hhs-ai-strategy.pdf,January 2021,Government,"The U.S. Department of Health and Human Services' AI Strategy outlines a plan to leverage artificial intelligence to enhance health and human services, foster innovation, and ensure ethical, trustworthy AI adoption across the department to improve public health and well-being.","Transparency: 1
Justice and fairness: 0
Non-maleficence: 5
Responsibility: 3
Privacy: 2
Beneficence: 2
Freedom and autonomy: 0
Trust: 1
Sustainability: 0
Dignity: 0
Solidarity: 0",,33,File had to be locally downloaded.
https://www.usaid.gov/cii/ai-in-global-health,1,Artificial Intelligence in Global Health Defining a Collective Path Forward,USA,U.S. Agency for International Development,https://www.usaid.gov/sites/default/files/2022-05/AI-in-Global-Health_webFinal_508.pdf,,Government,"The document outlines the potential for artificial intelligence (AI) to revolutionize global health by improving access, quality, and cost-effectiveness in low- and middle-income countries (LMICs), while also identifying critical challenges such as data availability, sustainability, privacy, regulatory barriers, and integration into existing health systems, and emphasizing the need for coordinated investments to scale these solutions effectively.","Transparency: 0
Justice and fairness: 2
Non-maleficence: 13
Responsibility: 0
Privacy: 9
Beneficence: 5
Freedom and autonomy: 0
Trust: 8
Sustainability: 7
Dignity: 0
Solidarity: 0",,34,
https://cihr-irsc.gc.ca/e/53244.html,1,"Building a Strategy for Artificial Intelligence in Public Health: Centering Partnership, Equity, and Interdisciplinarity",Canada,Canadian Institute of Health Research,https://cihr-irsc.gc.ca/e/documents/bbe_ai_public_summary-en.pdf,December 2021,Government,"The report emphasizes the need for AI in public health to be guided by equity, transparency, and interdisciplinary collaboration, while addressing challenges like data interoperability and capacity building, to ensure AI serves public health needs and reduces health inequities.","Transparency: 3
Justice and fairness: 7
Non-maleficence: 0
Responsibility: 1
Privacy: 0
Beneficence: 0
Freedom and autonomy: 0
Trust: 2
Sustainability: 1
Dignity: 0
Solidarity: 0",,35,
https://www.gov.uk/government/publications/g7-health-track-digital-health-final-reports/deliverable-1-principles-for-the-evaluation-of-artificial-intelligence-or-machine-learning-enabled-medical-devices-to-assure-safety-effectiveness-an,1,"Deliverable 1: principles for the evaluation of artificial intelligence or machine learning-enabled medical devices to assure safety, effectiveness and ethicality",England,Department of Health & Social Care,https://www.gov.uk/government/publications/g7-health-track-digital-health-final-reports/deliverable-1-principles-for-the-evaluation-of-artificial-intelligence-or-machine-learning-enabled-medical-devices-to-assure-safety-effectiveness-an,December 2021,Government,"Harmonized principles for the clinical evaluation and international deployment of AI/ML-enabled medical devices are being established by G7 nations, with an emphasis placed on safety, performance, ethics, and inclusivity to promote trustworthy innovation in healthcare.","Transparency: 8
Justice and fairness: 9
Non-maleficence: 12
Responsibility: 3
Privacy: 1
Beneficence: 1
Freedom and autonomy: 1
Trust: 1
Sustainability: 0
Dignity: 0
Solidarity: 0",,36,
https://www.medmalrx.com/?ai-governance-for-health-care/,1,Generating Evidence for Artificial Intelligence Based Medical Devices: A Framework for Training Validation and Evaluation,Global,World Health Organization ,https://iris.who.int/bitstream/handle/10665/349093/9789240038462-eng.pdf?sequence=1,November 2021,Intergovernmental,"The document outlines a framework for the training, validation, and evaluation of artificial intelligence-based medical devices (AI-SaMD) to ensure their safety, performance, and ethical use in healthcare, with a particular focus on global health contexts and low- and middle-income countries (LMICs).","Transparency: 16
Justice and fairness: 26
Non-maleficence: 70
Responsibility: 6
Privacy: 2
Beneficence: 7
Freedom and autonomy: 3
Trust: 4
Sustainability: 1
Dignity: 0
Solidarity: 0",,37,OCR library was used.
https://publications.parliament.uk/pa/cm5803/cmselect/cmsctech/1769/report.html,1,The governance of artificial intelligence: interim report,England,"House of Commons Science, Innovation and Technology Committee",https://committees.parliament.uk/publications/41130/documents/205611/default/,July 2023,Government,"The interim report discusses the governance challenges and opportunities posed by the rapid development and deployment of AI, emphasizing the need for regulatory frameworks that balance innovation with public safety, accountability, and ethical considerations, while addressing issues such as bias, privacy, transparency, and international coordination.","Transparency: 10
Justice and fairness: 9
Non-maleficence: 48
Responsibility: 12
Privacy: 9
Beneficence: 25
Freedom and autonomy: 4
Trust: 3
Sustainability: 3
Dignity: 0
Solidarity: 1",,38,File had to be downloaded. 
